age,annual_income,net_worth,savings_rate,debt_ratio,employment_years,investment_experience_years,time_horizon_years,emergency_fund_months,employment_status,primary_goal,liquidity_need,resources_used,q1,q2,q3,q4,q5,risk_tolerance,risk_capacity,combined_score,investor_type,stocks_target,bonds_target,cash_target,alts_target,curr_stock,curr_bonds,curr_cash,curr_alts
28,20984,867843,0.124,0.5,5,12,6,2,self-employed,wealth_generation,low,online,2,2,4,2,2,0.48,0.239,0.344,conservative,0.314,0.49,0.147,0.049,0.305,0.477,0.173,0.045
33,20987,868406,0.251,0.135,14,6,8,4,employee,retirement,medium,online,4,3,4,2,3,0.66,0.437,0.588,moderate,0.575,0.283,0.094,0.047,0.592,0.27,0.091,0.047
25,21007,868911,0.04,0.228,4,9,5,4,unemployed,retirement,low,advisor,4,2,5,3,4,0.71,0.336,0.549,moderate,0.55,0.3,0.1,0.05,0.548,0.266,0.164,0.022
35,21011,870411,0.171,0.15,15,5,22,2,self-employed,retirement,high,none,2,4,3,5,4,0.69,0.453,0.625,moderate,0.625,0.25,0.083,0.042,0.625,0.282,0.048,0.045
39,21017,870943,0.128,0.417,18,7,16,6,employee,education,low,none,4,2,3,3,3,0.6,0.31,0.505,moderate,0.625,0.25,0.083,0.042,0.582,0.26,0.085,0.073
26,21026,871533,0.131,0.357,7,4,16,2,employee,education,medium,books,3,2,3,3,2,0.52,0.342,0.428,moderate,0.625,0.25,0.083,0.042,0.643,0.254,0.09,0.013
25,21026,873773,0.247,0.206,6,1,2,4,retired,retirement,low,none,4,3,4,3,1,0.63,0.353,0.54,moderate,0.521,0.319,0.106,0.053,0.503,0.328,0.125,0.044
35,21037,877354,0.236,0.327,13,2,12,1,retired,income,low,friends,2,5,4,1,3,0.63,0.322,0.49,moderate,0.605,0.263,0.088,0.044,0.603,0.253,0.1,0.044
35,21050,877373,0.173,0.136,19,4,13,4,employee,retirement,low,online,2,1,5,3,3,0.53,0.451,0.55,moderate,0.612,0.259,0.086,0.043,0.604,0.23,0.081,0.085
25,21055,878007,0.107,0.217,1,17,9,3,employee,retirement,medium,advisor,2,2,1,4,1,0.39,0.399,0.397,moderate,0.583,0.278,0.093,0.046,0.57,0.239,0.117,0.075
25,21060,878687,0.148,0.215,7,17,8,3,retired,retirement,high,advisor,5,2,2,3,2,0.58,0.365,0.484,moderate,0.575,0.283,0.094,0.047,0.657,0.251,0.057,0.035
26,21084,879377,0.135,0.16,7,12,19,2,retired,retirement,medium,friends,3,2,3,2,4,0.55,0.422,0.486,moderate,0.625,0.25,0.083,0.042,0.615,0.224,0.101,0.06
21,21090,880225,0.124,0.428,0,3,2,3,retired,wealth_generation,low,books,4,3,4,3,3,0.69,0.255,0.505,moderate,0.521,0.319,0.106,0.053,0.563,0.295,0.085,0.058
23,21092,880422,0.06,0.326,3,6,14,5,retired,retirement,medium,online,3,2,2,3,4,0.54,0.327,0.446,moderate,0.619,0.254,0.085,0.042,0.577,0.309,0.074,0.04
22,21096,880600,0.161,0.177,3,6,9,5,employee,wealth_generation,medium,books,4,4,2,4,3,0.69,0.419,0.603,moderate,0.583,0.278,0.093,0.046,0.553,0.257,0.079,0.11
24,21102,881418,0.113,0.162,3,5,14,2,retired,retirement,medium,advisor,3,4,2,3,3,0.61,0.407,0.514,moderate,0.619,0.254,0.085,0.042,0.609,0.263,0.069,0.06
27,21103,884233,0.185,0.023,11,1,6,2,employee,retirement,low,books,4,2,3,3,2,0.57,0.487,0.512,moderate,0.559,0.294,0.098,0.049,0.534,0.287,0.107,0.072
29,21106,885404,0.117,0.203,13,7,7,0,retired,home_purchase,low,none,2,2,3,5,3,0.56,0.368,0.515,moderate,0.567,0.288,0.096,0.048,0.596,0.292,0.098,0.015
35,21109,885788,0.14,0.269,15,1,13,1,employee,retirement,low,books,3,3,3,3,4,0.63,0.382,0.572,moderate,0.612,0.259,0.086,0.043,0.618,0.267,0.116,0.0
23,21130,885821,0.038,0.177,3,11,27,1,self-employed,home_purchase,medium,online,3,3,3,2,4,0.6,0.453,0.518,moderate,0.625,0.25,0.083,0.042,0.605,0.216,0.102,0.078
32,21156,889903,0.346,0.335,8,9,26,2,employee,retirement,medium,online,3,4,3,4,3,0.68,0.377,0.55,moderate,0.625,0.25,0.083,0.042,0.582,0.273,0.102,0.043
26,21160,890721,0.155,0.227,10,5,7,5,retired,income,low,friends,2,4,2,4,4,0.62,0.357,0.552,moderate,0.567,0.288,0.096,0.048,0.583,0.337,0.08,0.0
27,21168,890724,0.021,0.192,9,8,4,3,employee,income,low,online,4,2,4,2,1,0.55,0.398,0.503,moderate,0.541,0.306,0.102,0.051,0.484,0.331,0.101,0.084
31,21172,891603,0.161,0.486,13,3,13,5,retired,home_purchase,high,none,4,3,4,3,3,0.69,0.248,0.561,moderate,0.612,0.259,0.086,0.043,0.655,0.265,0.068,0.011
22,21174,891937,0.242,0.17,3,4,10,4,employee,home_purchase,medium,online,4,3,3,3,3,0.65,0.425,0.581,moderate,0.591,0.273,0.091,0.045,0.642,0.268,0.062,0.028
29,21183,892114,0.212,0.222,7,4,17,4,employee,home_purchase,low,online,1,3,4,3,3,0.54,0.417,0.505,moderate,0.625,0.25,0.083,0.042,0.62,0.244,0.081,0.055
28,21184,898937,0.194,0.217,6,11,12,3,retired,wealth_generation,low,none,3,5,3,3,3,0.7,0.376,0.559,moderate,0.605,0.263,0.088,0.044,0.561,0.267,0.102,0.069
30,21192,899071,0.072,0.161,10,3,11,6,self-employed,home_purchase,high,advisor,2,3,3,1,2,0.46,0.416,0.413,moderate,0.598,0.268,0.089,0.045,0.644,0.25,0.089,0.017
29,21198,899703,0.185,0.151,5,7,14,3,unemployed,wealth_generation,low,advisor,4,3,1,5,2,0.6,0.396,0.482,moderate,0.619,0.254,0.085,0.042,0.645,0.211,0.095,0.049
40,21200,901925,0.21,0.186,18,3,4,3,employee,home_purchase,high,online,3,4,2,1,3,0.55,0.401,0.489,moderate,0.541,0.306,0.102,0.051,0.565,0.316,0.101,0.018
24,21203,903027,0.167,0.419,7,4,15,5,employee,income,low,books,4,3,3,2,2,0.59,0.308,0.519,moderate,0.625,0.25,0.083,0.042,0.649,0.238,0.07,0.043
25,21204,903071,0.251,0.365,7,3,11,1,unemployed,education,low,friends,3,4,3,4,5,0.74,0.29,0.528,moderate,0.598,0.268,0.089,0.045,0.592,0.244,0.116,0.048
24,21204,903213,0.108,0.327,2,8,18,4,retired,income,low,online,4,1,3,4,3,0.58,0.336,0.479,moderate,0.625,0.25,0.083,0.042,0.601,0.239,0.096,0.063
25,21207,903934,0.1,0.244,5,7,5,1,employee,wealth_generation,medium,online,1,2,1,3,2,0.34,0.375,0.304,conservative,0.3,0.5,0.15,0.05,0.286,0.501,0.134,0.078
24,21207,911313,0.241,0.262,2,10,8,5,employee,income,low,none,3,4,2,2,2,0.55,0.374,0.521,moderate,0.575,0.283,0.094,0.047,0.59,0.313,0.074,0.024
33,21219,913825,0.178,0.172,9,3,24,5,self-employed,retirement,low,none,4,4,3,3,2,0.67,0.447,0.557,moderate,0.625,0.25,0.083,0.042,0.623,0.293,0.074,0.011
35,21223,915616,0.002,0.073,11,0,12,3,retired,retirement,medium,advisor,3,2,3,3,2,0.52,0.445,0.558,moderate,0.605,0.263,0.088,0.044,0.585,0.232,0.123,0.06
25,21225,916696,0.124,0.197,7,9,22,4,employee,retirement,medium,advisor,3,4,5,4,5,0.82,0.444,0.684,aggressive,0.792,0.125,0.042,0.042,0.79,0.119,0.02,0.072
23,21267,917714,0.237,0.257,0,2,15,5,self-employed,retirement,medium,online,3,5,3,3,3,0.7,0.379,0.618,moderate,0.625,0.25,0.083,0.042,0.572,0.202,0.12,0.107
30,21268,919607,0.023,0.06,9,3,22,3,employee,home_purchase,low,online,3,3,2,4,2,0.56,0.521,0.492,moderate,0.625,0.25,0.083,0.042,0.594,0.246,0.13,0.031
25,21273,919862,0.004,0.082,6,4,8,6,employee,wealth_generation,low,advisor,4,4,4,2,2,0.68,0.465,0.52,moderate,0.575,0.283,0.094,0.047,0.608,0.265,0.109,0.018
31,21275,920521,0.109,0.171,12,10,4,3,employee,retirement,low,advisor,4,2,2,3,3,0.56,0.409,0.488,moderate,0.541,0.306,0.102,0.051,0.55,0.264,0.12,0.065
29,21288,922094,0.261,0.211,10,8,18,6,employee,home_purchase,low,books,3,4,4,3,3,0.69,0.426,0.586,moderate,0.625,0.25,0.083,0.042,0.575,0.306,0.083,0.036
20,21297,922129,0.255,0.221,0,3,18,4,employee,retirement,low,none,3,3,2,4,4,0.62,0.421,0.559,moderate,0.625,0.25,0.083,0.042,0.602,0.276,0.057,0.065
35,21339,922383,0.157,0.101,14,8,13,3,employee,retirement,medium,books,4,4,2,2,4,0.66,0.471,0.631,moderate,0.612,0.259,0.086,0.043,0.583,0.27,0.08,0.066
36,21350,922653,0.163,0.155,19,9,13,0,unemployed,wealth_generation,low,books,3,3,3,3,4,0.63,0.392,0.525,moderate,0.612,0.259,0.086,0.043,0.619,0.294,0.061,0.026
24,21360,924270,0.12,0.17,4,5,22,2,employee,retirement,low,online,3,1,4,4,2,0.54,0.46,0.495,moderate,0.625,0.25,0.083,0.042,0.61,0.239,0.09,0.061
26,21361,925508,0.1,0.068,6,3,5,5,employee,retirement,medium,online,2,4,4,1,3,0.58,0.463,0.526,moderate,0.55,0.3,0.1,0.05,0.535,0.285,0.067,0.112
29,21378,925607,0.223,0.196,8,9,13,3,employee,education,low,books,3,3,3,2,4,0.6,0.421,0.54,moderate,0.612,0.259,0.086,0.043,0.62,0.255,0.076,0.049
29,21409,925721,0.061,0.071,7,8,2,3,retired,wealth_generation,medium,advisor,2,4,4,2,2,0.58,0.415,0.477,moderate,0.521,0.319,0.106,0.053,0.497,0.319,0.085,0.099
31,21463,927169,0.151,0.336,8,1,5,3,self-employed,retirement,high,advisor,3,5,2,3,3,0.66,0.316,0.469,moderate,0.55,0.3,0.1,0.05,0.571,0.246,0.109,0.074
38,21464,927282,0.18,0.218,15,9,10,2,employee,wealth_generation,low,none,4,4,3,3,3,0.7,0.402,0.591,moderate,0.591,0.273,0.091,0.045,0.567,0.314,0.113,0.006
27,21481,927678,0.06,0.196,7,6,18,3,employee,wealth_generation,low,advisor,1,5,3,3,5,0.66,0.435,0.529,moderate,0.625,0.25,0.083,0.042,0.649,0.226,0.114,0.012
24,21500,928899,0.157,0.106,7,10,16,3,employee,retirement,low,books,2,5,4,3,4,0.72,0.478,0.657,aggressive,0.792,0.125,0.042,0.042,0.712,0.119,0.097,0.073
21,21522,930625,0.168,0.155,0,3,26,6,self-employed,retirement,high,none,2,1,2,4,2,0.41,0.463,0.365,moderate,0.625,0.25,0.083,0.042,0.681,0.244,0.075,0.0
24,21525,931946,0.204,0.158,3,4,2,3,employee,education,low,advisor,1,3,4,3,4,0.57,0.41,0.482,moderate,0.521,0.319,0.106,0.053,0.508,0.316,0.125,0.051
27,21528,935756,0.098,0.579,9,7,9,5,employee,retirement,low,books,4,4,3,2,4,0.7,0.215,0.465,moderate,0.583,0.278,0.093,0.046,0.577,0.242,0.099,0.083
36,21548,937387,0.111,0.401,17,6,5,4,employee,income,low,online,3,2,4,3,4,0.62,0.298,0.471,moderate,0.55,0.3,0.1,0.05,0.545,0.317,0.104,0.035
25,21551,939150,0.167,0.02,9,5,2,2,employee,retirement,low,friends,3,4,1,5,1,0.57,0.478,0.507,moderate,0.521,0.319,0.106,0.053,0.494,0.344,0.136,0.026
29,21578,940309,0.321,0.302,11,10,7,5,self-employed,wealth_generation,medium,online,2,3,2,3,2,0.48,0.338,0.457,moderate,0.567,0.288,0.096,0.048,0.577,0.314,0.1,0.01
27,21630,943183,0.094,0.168,8,7,7,1,employee,retirement,medium,advisor,2,3,3,4,3,0.58,0.42,0.6,moderate,0.567,0.288,0.096,0.048,0.526,0.297,0.149,0.028
33,21638,943898,0.327,0.093,16,9,10,3,unemployed,wealth_generation,medium,books,3,4,1,1,1,0.45,0.412,0.398,moderate,0.591,0.273,0.091,0.045,0.562,0.306,0.098,0.034
40,21654,944784,0.197,0.337,19,2,5,2,employee,retirement,low,friends,3,3,1,3,3,0.52,0.33,0.423,moderate,0.55,0.3,0.1,0.05,0.534,0.29,0.12,0.056
25,21655,945304,0.227,0.109,2,10,11,3,employee,retirement,medium,books,3,1,5,3,2,0.55,0.462,0.51,moderate,0.598,0.268,0.089,0.045,0.532,0.254,0.139,0.075
25,21660,945470,0.055,0.239,4,6,22,2,employee,home_purchase,medium,online,3,4,2,2,3,0.58,0.423,0.485,moderate,0.625,0.25,0.083,0.042,0.63,0.214,0.09,0.067
33,21664,945902,0.113,0.308,15,1,16,4,employee,wealth_generation,high,books,3,4,4,4,2,0.69,0.37,0.579,moderate,0.625,0.25,0.083,0.042,0.616,0.28,0.057,0.047
31,21665,948377,0.041,0.279,7,3,19,6,retired,retirement,medium,advisor,2,2,4,4,4,0.6,0.364,0.464,moderate,0.625,0.25,0.083,0.042,0.596,0.289,0.08,0.035
37,21673,948942,0.128,0.554,18,0,18,4,employee,income,low,none,4,2,3,2,4,0.6,0.242,0.475,moderate,0.625,0.25,0.083,0.042,0.589,0.274,0.096,0.041
30,21693,949688,0.317,0.374,9,6,9,2,employee,retirement,low,online,2,4,4,5,3,0.7,0.32,0.551,moderate,0.583,0.278,0.093,0.046,0.562,0.29,0.092,0.056
26,21695,950973,0.061,0.368,7,4,15,4,employee,retirement,low,advisor,3,3,3,3,4,0.63,0.336,0.535,moderate,0.625,0.25,0.083,0.042,0.685,0.211,0.104,0.0
30,21704,953996,0.165,0.207,11,19,16,6,employee,retirement,low,online,2,3,1,3,3,0.47,0.425,0.451,moderate,0.625,0.25,0.083,0.042,0.649,0.277,0.03,0.045
33,21719,955632,0.006,0.011,16,13,6,2,employee,income,medium,advisor,4,2,3,4,3,0.63,0.496,0.598,moderate,0.559,0.294,0.098,0.049,0.516,0.27,0.114,0.1
32,21737,956141,0.197,0.35,15,12,19,1,employee,wealth_generation,low,none,5,3,2,4,3,0.69,0.355,0.572,moderate,0.625,0.25,0.083,0.042,0.632,0.245,0.042,0.081
30,21737,956685,0.089,0.771,13,7,11,1,self-employed,home_purchase,low,books,3,3,3,3,2,0.57,0.114,0.382,moderate,0.598,0.268,0.089,0.045,0.681,0.249,0.063,0.008
33,21746,957330,0.069,0.225,16,11,2,3,retired,retirement,low,advisor,4,3,2,3,3,0.61,0.347,0.522,moderate,0.521,0.319,0.106,0.053,0.479,0.343,0.11,0.068
33,21762,958127,0.121,0.58,10,4,14,4,retired,retirement,medium,online,4,3,2,5,3,0.67,0.205,0.527,moderate,0.619,0.254,0.085,0.042,0.584,0.303,0.113,0.0
34,21784,960579,0.211,0.114,15,7,15,4,self-employed,wealth_generation,low,online,3,3,2,3,4,0.59,0.454,0.482,moderate,0.625,0.25,0.083,0.042,0.582,0.282,0.065,0.071
31,21787,960805,0.061,0.184,12,5,12,3,employee,retirement,low,online,4,3,3,4,3,0.68,0.426,0.517,moderate,0.605,0.263,0.088,0.044,0.646,0.264,0.089,0.0
27,21789,961091,0.097,0.129,9,3,6,4,employee,wealth_generation,low,advisor,4,3,2,2,4,0.61,0.437,0.58,moderate,0.559,0.294,0.098,0.049,0.651,0.295,0.049,0.005
28,21795,961730,0.009,0.25,8,1,11,4,self-employed,income,low,online,1,2,2,4,4,0.47,0.374,0.459,moderate,0.598,0.268,0.089,0.045,0.577,0.289,0.066,0.068
34,21795,963563,0.3,0.38,15,7,10,4,employee,income,low,books,2,5,4,3,4,0.72,0.319,0.603,moderate,0.591,0.273,0.091,0.045,0.549,0.268,0.13,0.053
23,21803,964091,0.171,0.201,1,2,26,2,self-employed,wealth_generation,low,books,2,3,3,2,2,0.49,0.439,0.466,moderate,0.625,0.25,0.083,0.042,0.685,0.246,0.015,0.055
29,21806,965716,0.199,0.452,7,10,18,2,self-employed,wealth_generation,low,none,2,3,3,3,1,0.49,0.286,0.461,moderate,0.625,0.25,0.083,0.042,0.648,0.231,0.054,0.068
26,21820,965785,0.183,0.275,5,14,17,2,self-employed,retirement,low,online,3,4,2,5,4,0.7,0.376,0.657,aggressive,0.792,0.125,0.042,0.042,0.827,0.131,0.008,0.033
28,21823,966607,0.074,0.247,6,2,6,5,employee,income,low,online,2,2,3,3,1,0.44,0.378,0.45,moderate,0.559,0.294,0.098,0.049,0.567,0.27,0.078,0.085
34,21829,967196,0.172,0.375,12,6,8,5,self-employed,wealth_generation,medium,online,2,2,5,3,2,0.55,0.305,0.47,moderate,0.575,0.283,0.094,0.047,0.636,0.27,0.045,0.049
28,21833,967729,0.07,0.091,5,10,9,2,employee,retirement,high,online,3,3,3,2,2,0.54,0.465,0.532,moderate,0.583,0.278,0.093,0.046,0.592,0.333,0.056,0.019
28,21835,968143,0.134,0.368,12,4,11,1,employee,home_purchase,low,online,3,2,2,2,2,0.45,0.328,0.406,moderate,0.598,0.268,0.089,0.045,0.581,0.286,0.057,0.076
21,21842,968624,0.167,0.162,3,14,2,5,student,wealth_generation,low,online,2,4,4,3,3,0.64,0.367,0.54,moderate,0.521,0.319,0.106,0.053,0.58,0.313,0.093,0.014
31,21843,969076,0.165,0.178,13,13,13,3,employee,wealth_generation,high,online,2,1,3,3,2,0.42,0.432,0.438,moderate,0.612,0.259,0.086,0.043,0.543,0.3,0.086,0.071
31,21845,969860,0.066,0.295,11,2,9,2,employee,home_purchase,low,none,2,2,3,3,4,0.53,0.361,0.53,moderate,0.583,0.278,0.093,0.046,0.553,0.287,0.066,0.095
38,21865,970051,0.028,0.448,16,0,12,1,employee,retirement,low,advisor,2,3,3,2,4,0.55,0.288,0.422,moderate,0.605,0.263,0.088,0.044,0.668,0.266,0.055,0.011
26,21866,970237,0.219,0.287,5,17,1,0,employee,wealth_generation,high,books,4,2,3,4,3,0.63,0.345,0.51,moderate,0.511,0.326,0.109,0.054,0.473,0.379,0.102,0.046
29,21868,971775,0.2,0.314,10,16,8,3,student,retirement,medium,books,3,3,4,3,3,0.64,0.315,0.51,moderate,0.575,0.283,0.094,0.047,0.588,0.287,0.049,0.076
29,21877,974012,0.052,0.37,8,6,17,2,student,retirement,low,friends,3,4,3,3,5,0.71,0.308,0.568,moderate,0.625,0.25,0.083,0.042,0.638,0.256,0.068,0.039
35,21916,974188,0.068,0.169,13,1,11,4,retired,retirement,low,none,3,3,4,3,2,0.61,0.398,0.533,moderate,0.598,0.268,0.089,0.045,0.596,0.265,0.079,0.06
27,21918,975844,0.251,0.396,8,8,17,7,retired,wealth_generation,medium,books,3,2,5,3,2,0.6,0.301,0.442,moderate,0.625,0.25,0.083,0.042,0.584,0.232,0.117,0.067
29,21919,976339,0.211,0.23,6,4,15,2,employee,retirement,low,none,3,4,2,5,2,0.64,0.41,0.55,moderate,0.625,0.25,0.083,0.042,0.671,0.23,0.049,0.051
31,21945,977636,0.364,0.132,11,15,19,2,retired,education,medium,none,4,3,2,4,3,0.64,0.44,0.557,moderate,0.625,0.25,0.083,0.042,0.67,0.231,0.098,0.0
28,21949,980054,0.103,0.205,10,11,1,2,employee,education,low,online,5,2,4,3,3,0.69,0.386,0.568,moderate,0.511,0.326,0.109,0.054,0.507,0.291,0.123,0.079
25,21973,985287,0.151,0.164,8,9,7,3,employee,education,medium,online,4,1,3,4,3,0.58,0.423,0.542,moderate,0.567,0.288,0.096,0.048,0.589,0.228,0.168,0.015
28,21984,985596,0.098,0.156,12,4,12,4,self-employed,retirement,low,books,3,2,4,5,4,0.68,0.424,0.614,moderate,0.605,0.263,0.088,0.044,0.58,0.228,0.121,0.071
33,21995,988325,0.177,0.179,14,9,23,2,employee,wealth_generation,low,books,4,4,3,3,4,0.73,0.46,0.597,moderate,0.625,0.25,0.083,0.042,0.598,0.263,0.089,0.049
22,22007,988444,0.064,0.134,5,4,15,1,employee,wealth_generation,medium,books,1,4,4,3,4,0.62,0.461,0.614,moderate,0.625,0.25,0.083,0.042,0.625,0.243,0.066,0.066
28,22009,988836,0.068,0.322,10,1,11,4,employee,retirement,low,online,2,3,3,3,3,0.55,0.352,0.426,moderate,0.598,0.268,0.089,0.045,0.61,0.27,0.094,0.026
24,22011,989968,0.048,0.288,8,7,4,5,employee,retirement,low,online,1,2,5,4,1,0.5,0.353,0.42,moderate,0.541,0.306,0.102,0.051,0.53,0.304,0.115,0.051
33,22019,990521,0.193,0.314,12,6,11,2,retired,education,low,none,4,2,4,4,3,0.67,0.329,0.527,moderate,0.598,0.268,0.089,0.045,0.64,0.255,0.06,0.045
20,22019,990984,0.152,0.202,1,10,10,1,self-employed,wealth_generation,low,online,2,2,4,2,2,0.48,0.396,0.467,moderate,0.591,0.273,0.091,0.045,0.644,0.239,0.113,0.004
25,22030,991426,0.176,0.366,5,12,17,3,employee,retirement,low,online,4,2,4,2,1,0.55,0.342,0.415,moderate,0.625,0.25,0.083,0.042,0.635,0.225,0.079,0.061
29,22033,991591,0.245,0.108,6,5,10,2,self-employed,wealth_generation,low,books,2,3,4,3,3,0.59,0.443,0.598,moderate,0.591,0.273,0.091,0.045,0.556,0.262,0.088,0.095
35,22047,991778,0.204,0.285,16,6,8,3,retired,wealth_generation,low,none,3,5,3,3,5,0.76,0.336,0.536,moderate,0.575,0.283,0.094,0.047,0.577,0.299,0.102,0.022
27,22052,993335,0.146,0.176,6,6,4,5,employee,education,medium,none,3,1,2,4,1,0.43,0.409,0.468,moderate,0.541,0.306,0.102,0.051,0.544,0.282,0.122,0.052
25,22056,996235,0.323,0.269,7,4,2,2,self-employed,retirement,medium,books,3,2,4,3,1,0.53,0.343,0.443,moderate,0.521,0.319,0.106,0.053,0.508,0.369,0.051,0.071
37,22061,996294,0.145,0.195,14,10,10,5,employee,retirement,low,online,4,4,2,2,4,0.66,0.416,0.565,moderate,0.591,0.273,0.091,0.045,0.626,0.226,0.089,0.059
20,22066,996732,0.063,0.377,2,7,9,4,self-employed,education,medium,advisor,4,5,4,5,3,0.85,0.307,0.566,moderate,0.583,0.278,0.093,0.046,0.528,0.279,0.128,0.065
18,22076,997190,0.346,0.439,0,14,12,2,retired,wealth_generation,low,advisor,3,2,2,3,2,0.48,0.271,0.419,moderate,0.605,0.263,0.088,0.044,0.679,0.238,0.083,0.0
30,22102,997450,0.02,0.353,8,9,15,3,employee,home_purchase,medium,online,1,2,4,3,3,0.49,0.345,0.427,moderate,0.625,0.25,0.083,0.042,0.615,0.267,0.092,0.025
25,22104,999902,0.163,0.132,7,3,2,4,self-employed,wealth_generation,low,advisor,2,3,5,4,3,0.66,0.407,0.594,moderate,0.521,0.319,0.106,0.053,0.526,0.264,0.109,0.101
22,22112,1000384,0.115,0.175,4,2,11,2,employee,wealth_generation,high,online,2,5,4,2,1,0.6,0.429,0.49,moderate,0.598,0.268,0.089,0.045,0.573,0.277,0.135,0.015
31,22120,1001104,0.154,0.464,8,5,19,1,student,wealth_generation,high,advisor,2,3,4,4,3,0.62,0.266,0.521,moderate,0.625,0.25,0.083,0.042,0.555,0.256,0.145,0.044
29,22125,1001136,0.165,0.236,11,5,11,3,retired,wealth_generation,low,books,3,5,3,3,2,0.67,0.366,0.497,moderate,0.598,0.268,0.089,0.045,0.623,0.238,0.103,0.036
25,22131,1001797,0.099,0.488,8,5,12,4,employee,wealth_generation,low,online,5,4,2,2,1,0.62,0.268,0.487,moderate,0.605,0.263,0.088,0.044,0.582,0.263,0.077,0.078
21,22134,1004057,0.164,0.22,1,3,11,3,employee,wealth_generation,low,advisor,3,2,2,4,4,0.57,0.405,0.46,moderate,0.598,0.268,0.089,0.045,0.614,0.246,0.052,0.088
32,22151,1004252,0.207,0.503,10,18,9,1,unemployed,retirement,medium,friends,4,2,2,2,5,0.59,0.225,0.503,moderate,0.583,0.278,0.093,0.046,0.621,0.288,0.054,0.038
31,22160,1004561,0.105,0.471,8,2,4,6,retired,retirement,low,none,3,5,4,3,4,0.77,0.242,0.587,moderate,0.541,0.306,0.102,0.051,0.552,0.276,0.157,0.015
27,22165,1005482,0.13,0.319,11,9,4,4,retired,retirement,medium,books,1,1,3,3,5,0.46,0.311,0.448,moderate,0.541,0.306,0.102,0.051,0.528,0.326,0.146,0.0
37,22170,1005981,0.106,0.012,20,0,5,4,retired,retirement,medium,online,2,3,4,3,4,0.62,0.454,0.546,moderate,0.55,0.3,0.1,0.05,0.579,0.24,0.154,0.027
22,22178,1008854,0.225,0.223,0,5,17,4,employee,wealth_generation,low,friends,2,4,4,4,2,0.64,0.42,0.543,moderate,0.625,0.25,0.083,0.042,0.706,0.208,0.054,0.032
20,22181,1009261,0.2,0.456,0,4,7,3,unemployed,education,medium,online,2,2,2,2,3,0.43,0.243,0.354,moderate,0.567,0.288,0.096,0.048,0.613,0.306,0.081,0.0
24,22192,1009552,0.242,0.434,6,5,24,7,retired,wealth_generation,medium,advisor,2,3,2,3,3,0.51,0.296,0.42,moderate,0.625,0.25,0.083,0.042,0.61,0.241,0.068,0.081
27,22193,1009990,0.081,0.137,4,7,18,1,employee,wealth_generation,medium,advisor,3,3,3,2,2,0.54,0.469,0.5,moderate,0.625,0.25,0.083,0.042,0.578,0.275,0.092,0.055
29,22213,1012814,0.048,0.223,11,8,15,4,retired,retirement,low,online,4,4,2,3,1,0.6,0.384,0.507,moderate,0.625,0.25,0.083,0.042,0.626,0.251,0.069,0.054
26,22214,1013603,0.066,0.401,7,8,16,3,self-employed,income,low,advisor,3,2,3,4,1,0.52,0.31,0.471,moderate,0.625,0.25,0.083,0.042,0.638,0.26,0.038,0.065
29,22215,1013704,0.079,0.287,12,8,2,5,employee,education,low,friends,2,2,1,4,3,0.45,0.349,0.439,moderate,0.521,0.319,0.106,0.053,0.535,0.339,0.095,0.03
21,22225,1014949,0.16,0.408,0,12,13,4,self-employed,wealth_generation,low,books,5,2,1,4,3,0.6,0.3,0.445,moderate,0.612,0.259,0.086,0.043,0.62,0.291,0.043,0.045
35,22240,1015694,0.303,0.396,15,13,23,3,employee,retirement,low,books,3,4,3,4,2,0.65,0.339,0.547,moderate,0.625,0.25,0.083,0.042,0.602,0.221,0.124,0.053
27,22249,1017527,0.125,0.453,7,10,2,6,retired,home_purchase,high,online,2,3,4,3,3,0.59,0.246,0.41,moderate,0.521,0.319,0.106,0.053,0.498,0.345,0.09,0.067
33,22251,1017528,0.29,0.1,14,1,8,6,retired,retirement,low,online,1,1,1,3,2,0.29,0.423,0.388,moderate,0.575,0.283,0.094,0.047,0.558,0.288,0.115,0.039
29,22253,1017981,0.03,0.116,9,16,3,1,retired,wealth_generation,low,online,5,3,3,2,2,0.64,0.401,0.516,moderate,0.531,0.312,0.104,0.052,0.513,0.345,0.076,0.066
30,22260,1018978,0.268,0.079,14,15,13,2,employee,retirement,medium,advisor,5,5,3,1,3,0.74,0.486,0.662,aggressive,0.784,0.129,0.043,0.043,0.766,0.131,0.096,0.006
30,22272,1019455,0.084,0.481,9,9,4,4,self-employed,home_purchase,low,advisor,3,3,1,5,2,0.55,0.247,0.448,moderate,0.541,0.306,0.102,0.051,0.505,0.354,0.111,0.03
30,22307,1021057,0.26,0.25,11,7,11,6,employee,wealth_generation,low,advisor,2,3,4,4,2,0.59,0.39,0.501,moderate,0.598,0.268,0.089,0.045,0.581,0.256,0.079,0.083
31,22308,1021380,0.04,0.065,12,4,16,3,student,retirement,medium,books,2,1,3,3,4,0.48,0.456,0.459,moderate,0.625,0.25,0.083,0.042,0.644,0.262,0.055,0.038
34,22311,1021462,0.281,0.194,14,10,5,0,self-employed,retirement,high,advisor,2,4,4,2,3,0.61,0.387,0.514,moderate,0.55,0.3,0.1,0.05,0.529,0.309,0.095,0.067
28,22332,1023342,0.09,0.205,12,13,16,4,employee,retirement,low,online,4,2,3,3,3,0.6,0.427,0.546,moderate,0.625,0.25,0.083,0.042,0.687,0.222,0.091,0.0
